config  degeneracy
01        6
02       96
03       96
04       96
05      384
06       96
07       48
08       24
09       96
10       96
11        6
12       96
13      384
14      384
15      192
16       48
17      192
18      192
19      384
20      192
21      192
22      384
23       48
24      192
25      384
26      192
27      384
28       96
29       96
30      384
31      384
32      192
33      384
34      192
35       96
36       48
37       48
38       24
39      192
40       96
41      384
42       96
43      192
44       24
45       24
46       96
47       24
48       12
49       48
50       48
51       24
52       12
